+--------------------------------------------------------------------------------------------+--------------------------+---------------------------------+---------------------------------------------------------------------------+------------+------------------------+
| Nombre                                                                                     | Marca                    | Tipo                            | Variante                                                                  | Tamaño     | Categoría              |
| ACOLCHADO king beige 229259 cm                                                             | King                     | Acolchado                       | Beige 229259 Cm                                                           |            | Bazar Y Hogar          |
| Acond ELVIVE Glycolic Gloss x750ml                                                         | Elvive                   | Acond                           | Glycolic Gloss X750ml                                                     |            | Perfumeria             |
| Acond PANTENE keratina x510ml                                                              | Pantene                  | Acond                           | Keratina X510ml                                                           |            | Perfumeria             |
| Acondicion Suave bomba deliciosa 930 ml                                                    | Suave                    | Acondicion                      | Bomba Deliciosa                                                           | 930 ml     | Perfumeria             |
| Acondicionador ¨Plusbelle kids  350 ml                                                     | Plusbelle                | Acondicionador                  | Kids                                                                      | 350 ml     | Perfumeria             |
| Acondicionador Algabo baby extra suave x 444 ml                                            | Algabo                   | Acondicionador                  | Baby Extra Suave X                                                        | 444 ml     | Bebes Y Niños          |
| Acondicionador Algabo baby manzanilla x 444 ml                                             | Algabo                   | Acondicionador                  | Baby Manzanilla X                                                         | 444 ml     | Bebes Y Niños          |
| Acondicionador Algabo Zero piojos x 500 ml                                                 | Algabo                   | Acondicionador                  | Zero Piojos X                                                             | 500 ml     | Perfumeria             |
| Acondicionador Dove aregeneracion etrema 400 ml                                            | Dove                     | Acondicionador                  | Aregeneracion Etrema                                                      | 400 ml     | Perfumeria             |
| Acondicionador Dove bond intense repair 250 ml                                             | Dove                     | Acondicionador                  | Bond Intense Repair                                                       | 250 ml     | Perfumeria             |
| Acondicionador Dove brillo 400 ml                                                          | Dove                     | Acondicionador                  | Brillo                                                                    | 400 ml     | Perfumeria             |
| Acondicionador Dove hidratacion 400 ml                                                     | Dove                     | Acondicionador                  | Hidratacion                                                               | 400 ml     | Perfumeria             |
| Acondicionador Dove oleo nutricion 200 ml                                                  | Dove                     | Acondicionador                  | Oleo Nutricion                                                            | 200 ml     | Perfumeria             |
| Acondicionador Dove oleo nutricion 400 ml                                                  | Dove                     | Acondicionador                  | Oleo Nutricion                                                            | 400 ml     | Perfumeria             |
| Acondicionador Dove oleo nutricion 750 ml                                                  | Dove                     | Acondicionador                  | Oleo Nutricion                                                            | 750 ml     | Perfumeria             |
| Acondicionador Dove reconstru ccion completa 200 ml                                        | Dove                     | Acondicionador                  | Reconstru Ccion Completa                                                  | 200 ml     | Perfumeria             |
| Acondicionador Dove reconstru ccion completa 400 ml                                        | Dove                     | Acondicionador                  | Reconstru Ccion Completa                                                  | 400 ml     | Perfumeria             |
| Acondicionador Dove reconstru ccion completa 750 ml                                        | Dove                     | Acondicionador                  | Reconstru Ccion Completa                                                  | 750 ml     | Perfumeria             |
| Acondicionador Dove reconstruccion completa doypack 180 ml                                 | Dove                     | Acondicionador                  | Reconstruccion Completa                                                   | 180 ml     | Perfumeria             |
| Acondicionador Dove regeneracion etrema 200 ml                                             | Dove                     | Acondicionador                  | Regeneracion Etrema                                                       | 200 ml     | Perfumeria             |
| Acondicionador Dove regeneracion etrema 750 ml                                             | Dove                     | Acondicionador                  | Regeneracion Etrema                                                       | 750 ml     | Perfumeria             |
| Acondicionador Dove ritual/reparacion 200 ml                                               | Dove                     | Acondicionador                  | Ritual/reparacion                                                         | 200 ml     | Perfumeria             |
| Acondicionador Dove ritual/reparacion 400 ml                                               | Dove                     | Acondicionador                  | Ritual/reparacion                                                         | 400 ml     | Perfumeria             |
| Acondicionador Dove ritual/reparacion 750 ml                                               | Dove                     | Acondicionador                  | Ritual/reparacion                                                         | 750 ml     | Perfumeria             |
| Acondicionador Dove ritual/reparacion doy pack 180 ml                                      | Dove                     | Acondicionador                  | Ritual/reparacion                                                         | 180 ml     | Perfumeria             |
| Acondicionador Dove uv repair 250 ml                                                       | Dove                     | Acondicionador                  | Uv Repair                                                                 | 250 ml     | Perfumeria             |
| Acondicionador Elvive color-vive 200 ml                                                    | Elvive                   | Acondicionador                  | Color-vive                                                                | 200 ml     | Perfumeria             |
| Acondicionador Elvive color-vive 400 ml                                                    | Elvive                   | Acondicionador                  | Color-vive                                                                | 400 ml     | Perfumeria             |
| Acondicionador Elvive hialuronico 200 ml                                                   | Elvive                   | Acondicionador                  | Hialuronico                                                               | 200 ml     | Perfumeria             |
| Acondicionador Elvive hialuronico pure 200 ml                                              | Elvive                   | Acondicionador                  | Hialuronico Pure                                                          | 200 ml     | Perfumeria             |
| Acondicionador Elvive reparacion total mas 200 ml                                          | Elvive                   | Acondicionador                  | Reparacion Total Mas                                                      | 200 ml     | Perfumeria             |
| Acondicionador Fructis probiotics 200 ml                                                   | Fructis                  | Acondicionador                  | Probiotics                                                                | 200 ml     | Perfumeria             |
