+-----------------------------------------------------+----------------------+----------------------------+------------------------------------+-------------------+-----------+
| Nombre                                              | Marca                | Tipo                       | Variante                           | Tamaño            | Categoría |
| Amargo TRES TORRES Pomelo Rdo 1,5 l                 | Tres Torres          | Amargo                     | Pomelo Rdo                         | 1.5 l             | 2_211     |
| Amargo TRES TORRES Serrano 1,5 l                    | Tres Torres          | Amargo                     | Serrano                            | 1.5 l             | 2_211     |
| Anana Rodajas MAROLIO  850 G                        | Marolio              | Anana Rodajas              |                                    | 850 g             | 1_111     |
| Anana Rodajas MOLTO  850 G                          | Molto                | Anana Rodajas              |                                    | 850 g             | 1_111     |
| Anis CENTURION Granos  25 G                         | Centurion            | Anis                       | Granos                             | 25 g              | 1_142     |
| Anis en Granos D ALOMO  25 G                        | D Alomo              | Anis en Granos             |                                    | 25 g              | 1_142     |
| Anis Granos ALICANTE  25 G                          | Alicante             | Anis Granos                |                                    | 25 g              | 1_142     |
| Aperitivo Amer.GANCIA &   Hibiscus 750 m            | Gancia               | Aperitivo Amer.            | & Hibiscus                         | 750 ml            | 2_212     |
| Aperitivo Amer.GANCIA Hibiscus +Vodka 8* 473 m      | Gancia               | Aperitivo Amer.            | Hibiscus +vodka 8                  | 473 ml            | 2_212     |
| Aperitivo Americano GANCIA  450 m                   | Gancia               | Aperitivo Americano        |                                    | 450 ml            | 2_212     |
| Aperitivo Americano GANCIA  950 c                   | Gancia               | Aperitivo Americano        |                                    | 950 ml            | 2_212     |
| Aperitivo Americano MANON  950 c                    | Manon                | Aperitivo Americano        |                                    | 950 ml            | 2_212     |
| Aperitivo CARPANO Rosso  950 c                      | Carpano              | Aperitivo                  | Rosso                              | 950 ml            | 2_212     |
| Aperitivo DR.LEMON Gin&Ton.5% 473 m                 | Dr. Lemon            | Aperitivo                  | Gin&ton. 5%                        | 473 ml            | 2_212     |
| Aperitivo DR.LEMON Lim&Vod.4% 1 l                   | Dr. Lemon            | Aperitivo                  | Lim&vod. 4%                        | 1 l               | 2_212     |
| Aperitivo DR.LEMON Limon&V.4% 473 m                 | Dr. Lemon            | Aperitivo                  | Limon&v.4%                         | 473 ml            | 2_212     |
| Aperitivo DR.LEMON Mojito 5% 1 l                    | Dr. Lemon            | Aperitivo                  | Mojito 5%                          | 1 l               | 2_212     |
| Aperitivo DR.LEMON Mojito 5% 473 m                  | Dr. Lemon            | Aperitivo                  | Mojito 5%                          | 473 ml            | 2_212     |
| Aperitivo DR.LEMON Pomel&V.4% 473 m                 | Dr. Lemon            | Aperitivo                  | Pomel&v.4%                         | 473 ml            | 2_212     |
| Aperitivo DR.LEMON R.Berry 5% 1 l                   | Dr. Lemon            | Aperitivo                  | R. Berry 5%                        | 1 l               | 2_212     |
| Aperitivo DR.LEMON Vodka 5% 1 l                     | Dr. Lemon            | Aperitivo                  | Vodka 5%                           | 1 l               | 2_212     |
| Aperitivo DR.LEMON Vodka&L.5% 473 m                 | Dr. Lemon            | Aperitivo                  | Vodka&l.5%                         | 473 ml            | 2_212     |
| Aperitivo PRONTO Bitt 4,3%  473 m                   | Pronto               | Aperitivo                  | Bitt 4,3%                          | 473 ml            | 2_212     |
| Aperitivo PRONTO Shake 4,2%  473 m                  | Pronto               | Aperitivo                  | Shake 4,2%                         | 473 ml            | 2_212     |
| Aperitivo PUNT E MES  750 c                         | Punt                 | Aperitivo                  | E Mes                              | 750 ml            | 2_212     |
| Aritos Frutales GRANIX  130 G                       | Granix               | Aritos Frutales            |                                    | 130 g             | 1_108     |
| Aritos GRANIX C/Miel  130 G                         | Granix               | Aritos                     | C/miel                             | 130 g             | 1_108     |
| Arroz APOSTOLES L/Fino  500 G                       | Apostoles            | Arroz                      | L/fino                             | 500 g             | 1_102     |
