key,supplier,sku,name,brand,product_type,variant,weight_g,volume_ml,units_in_name,category_norm,price_unit,price_bulk,stock,scraped_at
PROCENEX|LIMPIADOR|V900,vital,7791130683531,Limpiador Procenex fragancia flores del jardin 900 cc,Procenex,Limpiador,Fragancia Flores del Jardin,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683722,Limpiador Procenex fragancia jazmin 900 cc,Procenex,Limpiador,Fragancia Jazmin,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683524,Limpiador Procenex fragancia lavanda 900 cc,Procenex,Limpiador,Fragancia Lavanda,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683678,Limpiador Procenex fragancia limon 900 cc,Procenex,Limpiador,Fragancia Limon,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683661,Limpiador Procenex fragancia marina 900 cc,Procenex,Limpiador,Fragancia Marina,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683685,Limpiador Procenex fragancia pino 900 cc,Procenex,Limpiador,Fragancia Pino,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130683753,Limpiador Procenex original 900 cc,Procenex,Limpiador,Original,,900.0,,Limpieza,2119.00,25428.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130963367,Limpiador Procenex tropical 900 ml,Procenex,Limpiador,Tropical,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROTEX|JABONLIQUIDO|V200,maxiconsumo,6151,JABON LIQUIDO PROTEX BALANCE DOYPACK 200 ML,Protex,Jabon Liquido,Balance,,200.0,,Jabones Liquidos Para Manos,2108.88,1849.90,En stock,2026-03-06
PROTEX|JABONLIQUIDO|V200,maxiconsumo,22188,JABON LIQUIDO PROTEX VITAMINA E 200 ML,Protex,Jabon Liquido,Vitamina e,,200.0,,Jabones Liquidos Para Manos,2108.88,1849.90,En stock,2026-03-06
PROTEX|JABONLIQUIDO|V200,vital,7891024027226,Jabon liquido PROTEX balance d/p 200 ml,Protex,Jabon Liquido,Balance D/p,,200.0,,Perfumeria,1985.01,47640.24,disponible,2026-03-10
PRO|APERITIVO|V473,maxiconsumo,24464,APERITIVO PRONTO BITT LATA 473 CC,Pro,Aperitivo,Bitt,,473.0,,Aperitivos,1937.88,1699.89,En stock,2026-03-06
PRO|APERITIVO|V473,maxiconsumo,24463,APERITIVO PRONTO SHAKE LATA 473 CC,Pro,Aperitivo,Shake,,473.0,,Aperitivos,1937.88,1699.89,En stock,2026-03-06
PRO|APERITIVO|V473,vital,7790950610581,Aperitivo Pronto bitt lata 473 cc,Pro,Aperitivo,Bitt,,473.0,,Bebidas,1549.00,9294.00,disponible,2026-03-10
PRO|APERITIVO|V473,vital,7790950610574,Aperitivo Pronto Shake lata 473 cc,Pro,Aperitivo,Shake,,473.0,,Bebidas,1549.00,9294.00,disponible,2026-03-10
PRO|VINO|V750,maxiconsumo,28429,VINO PROFUGO CHENIN DULCE 750 CC,Pro,Vino,Chenin Dulce,,750.0,,Vinos Varietales,3191.89,2799.90,En stock,2026-03-06
PRO|VINO|V750,maxiconsumo,28428,VINO PROFUGO ESPECIAS 750 CC,Pro,Vino,Especias,,750.0,,Vinos Varietales,3191.89,2799.90,En stock,2026-03-06
PRO|VINO|V750,maxiconsumo,28427,VINO PROFUGO FRUTOS ROJOS 750 CC,Pro,Vino,Frutos Rojos,,750.0,,Vinos Varietales,3191.89,2799.90,En stock,2026-03-06
PRO|VINO|V750,vital,7798162670706,Vino Profugo Especias 750 CC,Pro,Vino,Especias,,750.0,,Bebidas,3399.00,20394.00,disponible,2026-03-10
PRO|VINO|V750,vital,7798162670713,Vino Profugo Frutos Rojos 750 CC,Pro,Vino,Frutos Rojos,,750.0,,Bebidas,3399.00,20394.00,disponible,2026-03-10
PUGLISI|ATUN|W170,maxiconsumo,303,ATUN PUGLISI ACEITE 170 GR,Puglisi,Atun,Aceite,170.0,,,Pescaderia,,,Disponibilidad crítica,2026-03-06
PUGLISI|ATUN|W170,maxiconsumo,17870,ATUN PUGLISI ACEITE SIN SAL 170 GR,Puglisi,Atun,Aceite sin Sal,170.0,,,Pescaderia,,,Disponibilidad crítica,2026-03-06
