+----------------------------------------------------+-----------------------+---------------------------+---------------------------+----------+------------------------------+
| Nombre                                             | Marca                 | Tipo                      | Variante                  | Tamaño   | Categoría                    |
| ACEITE OLIVA ZUELO LATA 950 CC.                    | ZUELO                 | Aceite de Oliva           | LATA                      | 950 ml   | Oliva                        |
| ACEITE OLIVA ZUELO Suave 500 CC.                   | ZUELO                 | Aceite de Oliva           | Suave                     | 500 ml   | Oliva                        |
| ACEITE PAMPA GOURMET GIRASOL 500 CC.               | PAMPA                 | Aceite                    | GOURMET GIRASOL           | 500 ml   | Girasol                      |
| ACEITE PUREZA GIRASOL 1.5 Lt.                      | PUREZA                | Aceite                    | GIRASOL                   | 1.5 l    | Girasol                      |
| ACEITE SIGLO DE ORO MEZCLA 5 Lt.                   | SIGLO DE ORO          | Aceite                    | MEZCLA                    | 5 l      | Mezcla                       |
| ACEITE SIGLO DE ORO MEZCLA 900 CC.                 | SIGLO DE ORO          | Aceite                    | MEZCLA                    | 900 ml   | Mezcla                       |
| ACEITE SOJOLA 900 CC.                              | SOJOLA                | Aceite                    |                           | 900 ml   | Soja                         |
| ACEITUNA CASTELL 100 Grs                           | CASTELL               | Aceituna                  |                           | 100 g    | Ofertas                      |
| ACEITUNA CASTELL 180 Grs                           | CASTELL               | Aceituna                  |                           | 180 g    | Ofertas                      |
| ACEITUNA CASTELL 500 Grs                           | CASTELL               | Aceituna                  |                           | 500 g    | Ofertas                      |
| ACEITUNA CASTELL AHUMADA 110 Grs                   | CASTELL               | Aceituna                  | AHUMADA                   | 110 g    | Ofertas                      |
| ACEITUNA CASTELL AJO 110 Grs                       | CASTELL               | Aceituna                  | AJO                       | 110 g    | Ofertas                      |
| ACEITUNA CASTELL BALDE 5 Kgs                       | CASTELL               | Aceituna                  | BALDE                     | 5 kg     | Gastronomia                  |
| ACEITUNA CASTELL FR.VERDE 190 Grs                  | CASTELL               | Aceituna                  | FR.VERDE                  | 190 g    | Alimentos 1                  |
| ACEITUNA CASTELL FV.S/CAROZ 165 Grs                | CASTELL               | Aceituna                  | FV.S/CAROZ                | 165 g    | Alimentos 1                  |
| ACEITUNA CASTELL NEGRA 170 Grs                     | CASTELL               | Aceituna                  | NEGRA                     | 170 g    | Ofertas                      |
