name,sku,supplier,category,price_unit,price_bulk,scraped_at
ACEITUNAS NUCETE VERDE RELLENAS FRASCO 2 KG,44140,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE RELLENAS FRASCO 200 GR,43244,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACETO COCINERO MODENA 250 CC,17453,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,,,2026-03-06
ACETO COCINERO REDUCCION 500 ML,28135,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,6155.88,5399.89,2026-03-06
ACETO DOS ANCLAS GLAZE 290 CC,18633,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,,,2026-03-06
ACETO LA TOSCANA BOTELLA 250 CC,22008,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,,,2026-03-06
ACETO MAROLIO BALSAMICO 250 ML,23423,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,1652.88,1449.90,2026-03-06
ACETO MAROLIO BALSAMICO 500 ML,4872,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,2849.88,2499.90,2026-03-06
ACETO MOLTO BALSAMICO 250 ML,23094,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,,,2026-03-06
ACETO MOLTO BALSAMICO 500 ML,23095,maxiconsumo,Almacen > Aceites Y Vinagres > Vinagres,,,2026-03-06
ADEREZO TAUDELTA BARBACOA 300 GR,24415,maxiconsumo,Almacen > Aderezos Y Condimentos > Aderezos,,,2026-03-06
ADEREZO TAUDELTA RANCH 330 GR,24412,maxiconsumo,Almacen > Aderezos Y Condimentos > Aderezos,,,2026-03-06
AJI HELLMANN'S PICANTE 240 GR,1496,maxiconsumo,Almacen > Aderezos Y Condimentos > Aderezos,,,2026-03-06
AJI MAROLIO PICANTE 295 GR,21251,maxiconsumo,Almacen > Aderezos Y Condimentos > Aderezos,1709.88,1499.89,2026-03-06
AJI MAROLIO SUAVE 295 GR,21252,maxiconsumo,Almacen > Aderezos Y Condimentos > Aderezos,1709.88,1499.89,2026-03-06
AJI MOLIDO ALICANTE TRITURADO 25 GR,19770,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,1025.87,899.89,2026-03-06
AJI MOLIDO DOS ANCLAS 50 GR,12334,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,,,2026-03-06
"AJI MOLIDO DOS ANCLAS BOLSA 1,5 kg",26211,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,,,2026-03-06
AJI MOLIDO MAROLIO 25 GR,19312,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,683.88,599.89,2026-03-06
AJIES NUCETE 100 GR,5984,maxiconsumo,Almacen > Encurtidos > Ajies,,,2026-03-06
AJIES NUCETE 220 GR,14431,maxiconsumo,Almacen > Encurtidos > Ajies,,,2026-03-06
AJIES NUCETE FRASCO 900 GR,44139,maxiconsumo,Almacen > Encurtidos > Ajies,,,2026-03-06
AJO ALICANTE NATURALIDAD INTACTA 50 GR,23754,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,1709.88,1499.89,2026-03-06
AJO DOS ANCLAS DESHIDRATADO POLVO 20 Gr,50847,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,1025.89,899.90,2026-03-06
ALBAHACA DOS ANCLAS 35 GR,28293,maxiconsumo,Almacen > Aderezos Y Condimentos > Condimentos Y Especias,1253.87,1099.89,2026-03-06
ALCAPARRAS CASTELL DOYPACK 75 GR,28452,maxiconsumo,Almacen > Encurtidos > Alcaparras,,,2026-03-06
ALCAPARRAS GENTLEMAN 110 GR,15842,maxiconsumo,Almacen > Encurtidos > Alcaparras,,,2026-03-06
ALFAJAJOR CHOCOARROZ MARROC 22 GR,20299,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR 9 DE ORO BLANCO 45 GR,28547,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR 9 DE ORO NEGRO 45 GR,28548,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR AGUILA DORADO 50 GR,28386,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR AGUILA MINI TORTA 69 GR,20829,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,1253.89,1099.90,2026-03-06
ALFAJOR AGUILA MINI TORTA BROWNIE 71.5 GR,16949,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,1253.89,1099.90,2026-03-06
ALFAJOR B Y N 3.0 BLANCO 73 GR,20828,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR B Y N 3.0 NEGRO 73 GR,20827,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR B Y N BLANCO 50 GR,11265,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR B Y N NEGRO 50 GR,11264,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR BAGLEY CHOCOTORTA 71.5 GR,28680,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR BON O BON BLANCO 40 GR,8966,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR BON O BON LECHE 40 GR,17615,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR BON O BON NEGRO 40 GR,8936,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR BON O BON TRIPLE 60 gr,26822,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CACHAFAZ BLANCO 60 GR,23313,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CACHAFAZ MAICENA 76 GR,27369,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CACHAFAZ MOUSSE DE CHOCOLATE 50 gr,27368,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CACHAFAZ NEGRO 60 GR,23312,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CHOCOARROZ BLANCO 25 gr,20427,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR CHOCOARROZ DULCE DE LECHE 25 gr,20297,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR COFLER BLOCK 60 GR,17617,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,1481.89,1299.90,2026-03-06
ALFAJOR COFLER CHOCO CREAMY 60 GR,28675,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR FULBITO CHOCOLATE 30 GR,6012,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,211.92,185.89,2026-03-06
ALFAJOR FULBITO MARROC 30 GR,6022,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,211.92,185.89,2026-03-06
ALFAJOR GENIO BLANCO 60 GR,24519,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,421.68,369.90,2026-03-06
ALFAJOR GENIO NEGRO 60 GR,24518,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,421.68,369.90,2026-03-06
ALFAJOR GUAYMALLEN CHOCOLATE 40 UN,3213,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR GUAYMALLEN DULCE DE LECHE 40 UN,3210,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR GUAYMALLEN FRUTA 40 UN,3221,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR GUAYMALLEN TRI CHOCOLATE 24 UN,3102,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR GUAYMALLEN TRI DULCE DE LECHE 24 UN,3107,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR HAMLET MOUSSE 34.5 GR,25121,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,364.69,319.90,2026-03-06
ALFAJOR HAMLET SIMPLE DULCE DE LECHE 36 GR,25120,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGELIN MAXI BLANCO 85 GR,28143,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGELIN MAXI GLASEADO 85 GR,28144,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGELIN MAXI NEGRO 85 GR,28145,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO BLANCO 50 GR,6878,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,1003.09,879.90,2026-03-06
